,DISTRITO,geometry,provDist,DEPARTAMENTO,PROVINCIA,Zona,Latitud,Longitud,cobertura_cell,no_cobertura_cell,Educ_sec_comp,Educ_sec_no_comp,esp_vid_nacer,Ing_fam_p_cap,NBI_2017,NBI_2017_c,Pobreza,No_Pobreza,Ing_fam_p_cap_N,w_NBI_2017_c,z_NBI_2017_c,z_w_NBI_2017_c,lisaNBI,CuadrantesNBI,SigNBI,SpotsNBI
140,CABANACONDE,POINT (-72.5728 -15.7131),CAYLLOMA+CABANACONDE,AREQUIPA,CAYLLOMA,X,-15.7131,-72.5728,24.390243902439025,75.60975609756098,66.02506216219282,33.974937837807175,76.02614636816648,562.293300296463,46.2,53.8,33.87431,66.12568999999999,25.73790509481103,46.325,-0.41572971341917964,-1.2093045692320434,0.3426707093766592,Q3,significativo,3 coldSpot
159,MADRIGAL,POINT (-72.4275 -16.7164),CAYLLOMA+MADRIGAL,AREQUIPA,CAYLLOMA,X,-16.7164,-72.4275,17.241379310344826,82.75862068965517,52.61372141049741,47.38627858950259,80.20245923530622,471.5735886039307,45.4,54.6,29.56721,70.43279,21.170526116179474,49.675,-0.3720070646206584,-0.9556385845691001,0.238521488774075,Q3,significativo,3 coldSpot
163,CHICHAS,POINT (-73.2214 -15.3211),CONDESUYOS+CHICHAS,AREQUIPA,CONDESUYOS,X,-15.3211,-73.2214,4.166666666666657,95.83333333333334,52.54005069321825,47.45994930678175,81.85356780733275,949.9314165757314,61.3,38.7,38.94611499999999,61.05388500000001,45.25395238573298,50.46249999999999,-1.2409947094912637,-0.8960081478759457,0.7422825429053331,Q3,significativo,3 coldSpot
244,CAYLLOMA,POINT (-71.5083 -16.4233),CAYLLOMA+CAYLLOMA,AREQUIPA,CAYLLOMA,X,-16.4233,-71.5083,12.048192771084345,87.95180722891565,52.06755821246457,47.93244178753543,80.24240151881062,943.1047516554017,42.1,57.9,40.761881,59.238119,44.91025678452836,48.050000000000004,-0.1916511383267593,-1.0786855174279901,0.13990269609324693,Q3,significativo,3 coldSpot
260,HUAYNACOTAS,POINT (-72.5247 -15.6547),LA UNION+HUAYNACOTAS,AREQUIPA,LA UNION,X,-15.6547,-72.5247,8.910891089108901,91.0891089108911,37.323812120690654,62.676187879309346,84.59383335617436,378.65237393471125,52.6,47.4,42.179079,57.820921,16.492310162545234,49.3875,-0.7655109038073478,-0.9774084265364418,0.5028545041701558,Q3,significativo,3 coldSpot
275,ANANEA,POINT (-69.5333 -14.6786),SAN ANTONIO DE PUTINA+ANANEA,PUNO,SAN ANTONIO DE PUTINA,ZG,-14.6786,-69.5333,26.829268292682926,73.17073170731707,75.07837960512437,24.92162039487563,61.62211917452258,1672.724317350423,80.5,19.5,15.526519,84.47348099999999,81.64371861527226,37.9875,-2.2903382806557686,-1.8406299862849675,2.9314845706089847,Q3,significativo,3 coldSpot
278,LEONCIO PRADO,POINT (-74.2328 -14.6222),LUCANAS+LEONCIO PRADO,AYACUCHO,LUCANAS,X,-14.6222,-74.2328,10.0,90.0,61.516094508417716,38.483905491582284,63.70465890565146,421.0636217937335,62.6,37.4,38.9161,61.0839,18.627548891977572,48.35,-1.3120440137888607,-1.0559691605925028,0.9362618267781128,Q3,significativo,3 coldSpot
282,CUYOCUYO,POINT (-69.54 -14.4717),SANDIA+CUYOCUYO,PUNO,SANDIA,X,-14.4717,-69.54,28.57142857142857,71.42857142857143,64.09442371915567,35.90557628084433,75.22040205504955,327.4727697114235,83.4,16.599999999999994,36.09379,63.90621,13.91561934085946,34.4625,-2.4488328825504078,-2.1075471791019456,3.6061221980876375,Q3,significativo,3 coldSpot
289,OTOCA,POINT (-74.2347 -13.6039),LUCANAS+OTOCA,AYACUCHO,LUCANAS,X,-13.6039,-74.2347,4.3859649122806985,95.6140350877193,50.55018200909108,49.44981799090892,68.47619201762099,752.8731521340686,69.3,30.700000000000003,43.895773999999996,56.104226000000004,35.332847503622155,47.425000000000004,-1.678221197476474,-1.1260112608352557,1.2824036170431354,Q3,significativo,3 coldSpot
292,ANTABAMBA,POINT (-73.5275 -13.7578),ANTABAMBA+ANTABAMBA,APURIMAC,ANTABAMBA,X,-13.7578,-73.5275,5.26315789473685,94.73684210526315,38.12162709530855,61.87837290469145,54.2987924038521,483.43716453104884,43.8,56.2,28.199999999999996,71.80000000000001,21.767810281770345,49.3875,-0.28456176702361624,-0.9774084265364418,0.18692505299500742,Q3,significativo,3 coldSpot
297,SINA,POINT (-69.2817 -14.49),SAN ANTONIO DE PUTINA+SINA,PUNO,SAN ANTONIO DE PUTINA,X,-14.49,-69.2817,5.0,95.0,74.70151078876437,25.298489211235633,66.648279967634,455.6274842024125,82.6,17.400000000000006,51.51997499999999,48.48002500000001,20.367702775190466,28.9,-2.405110233751886,-2.52874629542661,4.272912004212162,Q3,significativo,3 coldSpot
302,QUIACA,POINT (-69.3417 -14.4253),SANDIA+QUIACA,PUNO,SANDIA,X,-14.4253,-69.3417,14.285714285714292,85.71428571428571,81.73785056426463,18.262149435735367,70.20961310226646,490.38655715279214,91.7,8.299999999999997,45.41504,54.58496,22.117684737747265,30.037499999999994,-2.902455363835063,-2.4426134424253867,4.976053693440683,Q3,significativo,3 coldSpot
312,YANAHUAYA,POINT (-69.1844 -14.2822),SANDIA+YANAHUAYA,PUNO,SANDIA,X,-14.2822,-69.1844,31.578947368421055,68.42105263157895,45.910498742132894,54.089501257867106,74.08911939577227,420.00919391009995,47.9,52.1,31.63421,68.36579,18.574462614912306,24.5625,-0.5086403421160366,-2.857186954673033,1.0242266226895989,Q3,significativo,3 coldSpot
326,PATAMBUCO,POINT (-69.6222 -14.3594),SANDIA+PATAMBUCO,PUNO,SANDIA,X,-14.3594,-69.6222,8.333333333333343,91.66666666666666,52.059226252239974,47.940773747760026,73.91109969634066,126.37340048676761,87.4,12.599999999999994,51.650617,48.349383,3.79106080251518,27.174999999999997,-2.667446126543013,-2.659365347230663,4.990455921295818,Q3,significativo,3 coldSpot
330,SANDIA,POINT (-69.4667 -14.3231),SANDIA+SANDIA,PUNO,SANDIA,ZG,-14.3231,-69.4667,23.076923076923066,76.92307692307693,67.35653663762525,32.643463362374746,70.7162173228883,400.7331963961917,69.9,30.099999999999994,34.291382999999996,65.708617,17.603992314746815,27.125,-1.7110131840753653,-2.663151406703244,3.20576590970157,Q3,significativo,3 coldSpot
353,HUAC-HUAS,POINT (-73.9097 -12.4114),LUCANAS+HUAC HUAS,AYACUCHO,LUCANAS,X,-12.4114,-73.9097,3.773584905660371,96.22641509433963,49.686076333722,50.313923666278,67.10716135082492,448.48598768205,57.8,42.2,48.577225,51.422775,20.008156647071992,49.0875,-1.0497081209977344,-1.0001247833719296,0.7067510962737223,Q3,significativo,3 coldSpot
354,LARAMATE,POINT (-74.1947 -13.5572),LUCANAS+LARAMATE,AYACUCHO,LUCANAS,X,-13.5572,-74.1947,3.2894736842105345,96.71052631578947,42.809445885974895,57.190554114025105,69.39643728745621,400.5123253690284,55.0,45.0,46.321004,53.678996,17.592872331364664,43.537499999999994,-0.8966788502029108,-1.4203773848284489,0.875704919947164,Q3,significativo,3 coldSpot
356,LLAUTA,POINT (-73.8925 -13.2283),LUCANAS+LLAUTA,AYACUCHO,LUCANAS,X,-13.2283,-73.8925,8.75,91.25,65.86673935029596,34.13326064970404,66.83626633131964,732.9763269129774,40.7,59.3,27.398913000000004,72.60108699999999,34.33112098177961,47.9875,-0.11513650292934757,-1.0834180917687173,0.08444135114633448,Q3,significativo,3 coldSpot
367,TIBILLO,POINT (-75.1728 -14.0931),PALPA+TIBILLO,ICA,PALPA,X,-14.0931,-75.1728,12.7659574468085,87.2340425531915,68.36007605479494,31.639923945205055,75.69174159573811,947.9033810520186,51.2,48.8,8.612402999999999,91.387597,45.151848811480924,47.675,-0.6889962684099361,-1.1070809634723502,0.5170787761335399,Q3,significativo,3 coldSpot
377,SANTIAGO DE QUIRAHUARA,POINT (-74.9783 -14.0547),HUAYTARA+SANTIAGO DE QUIRAHUARA,HUANCAVELICA,HUAYTARA,X,-14.0547,-74.9783,8.955223880597018,91.04477611940298,64.1127472960185,35.8872527039815,68.75722754747437,217.74915591105628,58.8,41.2,21.54027,78.45973000000001,8.391468990494783,42.9125,-1.1043614319958857,-1.467703128235714,1.1162527949147423,Q3,significativo,3 coldSpot
379,USICAYOS,POINT (-69.9672 -14.1256),CARABAYA+USICAYOS,PUNO,CARABAYA,X,-14.1256,-69.9672,8.63309352517986,91.36690647482014,69.24432023768445,30.755679762315552,66.90335354484465,99.80258767382458,77.0,23.0,48.14547,51.85453,2.4533253796084087,40.5375,-2.0990516921622393,-1.6475409531833234,2.394113815357755,Q3,significativo,3 coldSpot
384,OCOYO,POINT (-75.0225 -14.0086),HUAYTARA+OCOYO,HUANCAVELICA,HUAYTARA,X,-14.0086,-75.0225,16.8141592920354,83.1858407079646,43.19896341870764,56.80103658129236,65.00962574985657,1215.559779001508,78.6,21.400000000000006,26.58547,73.41453,58.6272907268389,44.025,-2.1864969897592808,-1.3834633049707814,2.077097424227873,Q3,significativo,3 coldSpot
388,CORDOVA,POINT (-75.1833 -14.04),HUAYTARA+CORDOVA,HUANCAVELICA,HUAYTARA,X,-14.04,-75.1833,17.82178217821783,82.17821782178217,56.34150519953141,43.65849480046859,66.65187883692039,1094.34689771749,62.2,37.8,23.34951,76.65049,52.52470116182423,41.037499999999994,-1.2901826893896002,-1.6096803584575115,1.4362863252028477,Q3,significativo,3 coldSpot
393,PHARA,POINT (-69.6642 -14.1511),SANDIA+PHARA,PUNO,SANDIA,X,-14.1511,-69.6642,5.298013245033118,94.70198675496688,71.69675716764189,28.30324283235811,70.67773077984926,428.647318805626,82.0,18.0,31.63421,68.36579,19.00935806736189,25.5375,-2.3723182471529953,-2.7833587949576986,4.650618949402697,Q3,significativo,3 coldSpot
396,SAN ISIDRO,POINT (-75.24 -13.9569),HUAYTARA+SAN ISIDRO,HUANCAVELICA,HUAYTARA,X,-13.9569,-75.24,28.57142857142857,71.42857142857143,60.801138448083655,39.198861551916345,62.139995756331025,146.32902317992492,65.9,34.099999999999994,38.982824,61.017176,4.795747544721088,38.4125,-1.4923999400827601,-1.8084484807680266,1.875510252029742,Q3,significativo,3 coldSpot
416,ALTO INAMBARI,POINT (-69.2442 -14.0897),SANDIA+ALTO INAMBARI,PUNO,SANDIA,ZG,-14.0897,-69.2442,13.580246913580254,86.41975308641975,69.54553065558353,30.454469344416466,75.2498376456926,558.2668989075383,70.3,29.700000000000003,36.502457,63.497543,25.535191696364226,26.575000000000003,-1.7328745084746253,-2.7047980609016378,3.2988144665975323,Q3,significativo,3 coldSpot
436,SAN FRANCISCO DE SANGAYAICO,POINT (-75.25 -13.7956),HUAYTARA+SAN FRANCISCO DE SANGAYAICO,HUANCAVELICA,HUAYTARA,X,-13.7956,-75.25,9.523809523809518,90.47619047619048,55.95294309470705,44.04705690529295,70.63006553248907,374.09985327892355,64.8,35.2,42.947025,57.052975,16.263108738123794,50.0625,-1.4322812979847932,-0.9262966236565952,0.8880093391651724,Q3,significativo,3 coldSpot
442,QUERCO,POINT (-74.9764 -13.9803),HUAYTARA+QUERCO,HUANCAVELICA,HUAYTARA,X,-13.9803,-74.9764,4.918032786885249,95.08196721311475,59.01286967019884,40.98713032980116,67.14175142277357,424.58165145733165,76.2,23.799999999999997,26.58547,73.41453,18.80466778303158,47.675,-2.0553290433637184,-1.1070809634723502,1.5424858958189716,Q3,significativo,3 coldSpot
443,CORANI,POINT (-70.6042 -13.8686),CARABAYA+CORANI,PUNO,CARABAYA,X,-13.8686,-70.6042,4.845814977973575,95.15418502202643,62.55983697574468,37.44016302425532,66.50544299274746,159.80978774385056,56.0,44.0,67.815792,32.184208,5.474450767388225,48.275,-0.9513321612010621,-1.061648249801375,0.6827608716319439,Q3,significativo,3 coldSpot
